playlist_uri,owner,streams,stream30s,dau,wau,mau,mau_previous_month,mau_both_months,users,skippers,owner_country,n_tracks,n_local_tracks,n_artists,n_albums,monthly_stream30s,monthly_owner_stream30s,token_1,token_2,token_3,genre_1,genre_2,genre_3,mood_1,mood_2,mood_3,trending,hot,rising,skip,change_rate,rank,tier
spotify:user:spotify:playlist:6PzNMpCPMDMo1pOUjNhDUC,spotify,12959,5964,1069,4279,18876,19252,1383,60953,1228,US,45,1,39,40,109840,0,kids,party,NA,Children's,Pop,Soundtrack,Excited,Cool,Rowdy,0.056632761178215724,0.2266899766899767,0.4950692404532102,0.020146670385378897,0.022222222222222223,320,Top 101-500
spotify:user:spotify:playlist:0koYU8F8TUvbblUYZZrSKu,spotify,8319,7387,531,3588,11905,11888,1472,28636,295,US,87,0,87,87,272418,0,instrumental,inspirations,NA,Religious,Pop,Jazz,Tender,Romantic,Peaceful,0.044603107937841245,0.3013859722805544,0.5003572479300634,0.010301718117055455,0,193,Top 101-500
spotify:user:spotify:playlist:6jOKJ9uMXxnGM9Bh3rujY3,spotify,14054,11008,858,4682,12675,7085,2514,21827,381,US,76,0,66,70,320208,3,southern,gothic,NA,Country & Folk,Rock,Alternative,Gritty,Sophisticated,Brooding,0.06769230769230769,0.3693885601577909,0.6414473684210527,0.01745544509094241,0,175,Top 101-500
spotify:user:f7afaf01d2e331ed844d16ef40903ee8:playlist:0vdnF6GRVTp65fxkMb8kBm,f7afaf01d2e331ed844d16ef40903ee8,8697,8678,25,37,69,62,27,189,4,US,629,0,164,53,217615,104,hexx,skitzo,flowz,Rap,Alternative,R&B,Defiant,Energizing,Cool,0.36231884057971014,0.5362318840579711,0.5267175572519084,0.021164021164021163,0,225,Top 101-500
spotify:user:spotify:playlist:0JHYU9yefyVvlYAi2WTdKc,spotify,8009,5120,653,4141,18217,13381,1675,38999,458,US,64,0,54,59,231214,0,grungy,NA,NA,Alternative,Rock,Indie Rock,Defiant,Rowdy,Urgent,0.03584563868913652,0.22731514519404952,0.5765238306221913,0.01174389086899664,0,213,Top 101-500
spotify:user:spotify:playlist:7C49D2hDFRiWLcyFL8oCWN,spotify,8347,7035,739,6930,25952,22597,2564,61194,514,US,45,0,41,44,366777,0,instrumental,sunday,NA,Soundtrack,Indie Rock,Alternative,Melancholy,Romantic,Brooding,0.028475647348951912,0.2670314426633785,0.5345527199324394,0.008399516292446972,0,163,Top 101-500
spotify:user:spotify:playlist:2nLBLpHHD8nvUcpr6vmRsR,spotify,42609,24362,3490,18841,70610,58129,10254,167758,2937,US,37,0,37,36,804912,0,chill,nights,NA,Rap,R&B,-,Cool,Defiant,Energizing,0.04942642685172072,0.2668318934995043,0.5484740443843746,0.01750736179496656,0,96,Top 100
spotify:user:spotify:playlist:5rdIStO6ujbjHsVzIdagTC,spotify,19263,8537,1101,5637,19740,21268,4141,55558,1040,US,50,0,49,47,239583,1,viral,sweden,NA,Pop,Dance & House,Electronica,Yearning,Energizing,Excited,0.05577507598784195,0.2855623100303951,0.4813694888802185,0.018719176356240326,0,209,Top 101-500
spotify:user:spotify:playlist:0IxzlrMZzDDuoxE6cjwfNy,spotify,3904,2424,269,1931,15733,20532,1760,59705,306,US,222,0,208,214,188079,1,informal,normal,NA,Indie Rock,Alternative,Pop,Yearning,Excited,Defiant,0.01709781986906502,0.1227356511790504,0.43383427547221837,0.005125198894564944,0,246,Top 101-500
spotify:user:f600b4078a125968cd93dce93fb7342b:playlist:0xQxINHv81imjsztEbsyDY,f600b4078a125968cd93dce93fb7342b,22506,7575,1459,6503,13350,6756,895,31028,1768,US,408,0,194,193,93658,120,dance,bitch,NA,Rap,Pop,Dance & House,Defiant,Excited,Aggressive,0.10928838951310861,0.4871161048689139,0.6639809012235154,0.05698079154312234,0,349,Top 101-500
